"","Sex","Salt.Water.Age","n","meanLength","sdLength"
"1","female",1,1143,394.982502187227,61.2960406326233
"2","female",2,398146,501.893863055261,29.4250166735109
"3","female",3,433453,557.705760486143,27.2330714679962
"4","female",4,5794,573.682257507767,28.6846098468002
"5","female",5,16,569,25.6670995634489
"6","male",1,7821,367.652090525508,41.9119713506315
"7","male",2,366524,516.68173707588,36.2000576264373
"8","male",3,380325,582.484088608427,31.1638227924319
"9","male",4,5515,602.541251133273,33.5690901979056
"10","male",5,12,610.583333333333,38.1658065272934
